,,,,,,,,,,,,,,,,,,
family,species,18-Jan-23,29-Jan-23,10-Feb-23,19-Feb-22,16-Mar-22,30-Mar-23,08-Apr-23,22-Apr-23,07-May-23,20-May-23,05-Jun-23,24-Jun-23,28-Jul-23,08-Oct-23,,totals,
Noctuidae,marbled beauty,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,x
Noctuidae,uncertain,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,6,x
Noctuidae,rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,angle shades,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,x
Noctuidae,rosy rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,flounced rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,dusky brocade,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,x
Noctuidae,dark arches,0,0,0,0,0,0,0,0,0,0,0,0,8,0,,8,x
Noctuidae,common rustic,0,0,0,0,0,0,0,0,0,0,0,0,18,0,,18,x
Noctuidae,lesser common rustic,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,3,x
Noctuidae,rosy minor (aethalodes),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
Noctuidae,marbled minor,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,x
Noctuidae,rufous minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,middle barred minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,pink barred sallow,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,x
Noctuidae,beaded chestnut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,brown spot pinion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,red line quaker,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,6,x
Noctuidae,yellow line quaker,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,7,x
Noctuidae,lunar underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,dark chestnut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,satellite,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,x
Noctuidae,blair shouldered knot,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,x
Noctuidae,dun-bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,centre barred sallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,meveille du jour,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,x
Noctuidae,brindled green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,black rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,x
Noctuidae,dusky brocade,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,x
Noctuidae,clouded drab,0,0,0,0,0,6,1,0,0,0,0,0,0,0,,7,x
Noctuidae,common quaker,0,0,0,0,3,6,1,2,0,0,0,0,0,0,,12,x
Noctuidae,small quaker,0,0,0,0,0,13,1,0,0,0,0,0,0,0,,14,x
Noctuidae,hebrew character,0,0,0,0,0,14,4,2,1,0,0,0,0,0,,21,x
Noctuidae,twin spotted quaker,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,2,
Noctuidae,pale shouldered brocade,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,x
Noctuidae,bright line brown eye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,dot moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
Noctuidae,cabbage moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,common wainscot,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,2,
Noctuidae,smoky wainscot,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
Noctuidae,clay,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,2,
Noctuidae,obscure wainscot,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
Noctuidae,white-line dart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,heart and dart,0,0,0,0,0,0,0,0,0,0,3,2,2,0,,7,x
Noctuidae,heart and club,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
Noctuidae,shuttle shaped dart,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,x
Noctuidae,flame,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,3,x
Noctuidae,flame shoulder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,ingrailed clay,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
Noctuidae,Small square-spot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,red chestnut,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
Noctuidae,true lover's knot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
Noctuidae,large yellow underwing,0,0,0,0,0,0,0,0,0,0,0,1,103,1,,105,x
Noctuidae,broad bordered yellow underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,lesser broad bordered yellow underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,lesser yellow underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,x
Noctuidae,least yellow underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,dotted clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,square spot rustic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,x
Noctuidae,setaceous hebrew character,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,4,x
Noctuidae,double square spot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Nolidae,,,,,,,,,,,,,,,,,,
Notodontidae,iron prominent,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
Notodontidae,coxcomb prominent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Notodontidae,swallow prominent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
